Date,p_change,indicator
2020-03-13 00:00:00+05:30,7.7651515151515165,1
2020-03-16 00:00:00+05:30,-8.741258741258742,-1
2020-03-17 00:00:00+05:30,-3.556875257728814,-1
2020-03-18 00:00:00+05:30,-5.961538461538459,-1
2020-03-19 00:00:00+05:30,0.720337689933131,0
2020-03-20 00:00:00+05:30,0.3389843439651778,0
2020-03-23 00:00:00+05:30,-14.491524130611086,-1
2020-03-24 00:00:00+05:30,-10.574413720214224,-1
2020-03-25 00:00:00+05:30,-0.19464423186588345,0
2020-03-26 00:00:00+05:30,11.443297396001128,1
2020-03-27 00:00:00+05:30,-10.852052355694488,-1
2020-03-30 00:00:00+05:30,1.0936771366530584,0
2020-03-31 00:00:00+05:30,-10.163935676949908,-1
2020-04-01 00:00:00+05:30,-0.9541145139850364,0
2020-04-03 00:00:00+05:30,-0.3947341651247496,0
2020-04-07 00:00:00+05:30,5.244445800781267,1
2020-04-08 00:00:00+05:30,3.233047618727855,1
2020-04-09 00:00:00+05:30,3.9999986731487787,1
2020-04-13 00:00:00+05:30,0.7327573052768177,0
2020-04-15 00:00:00+05:30,-5.127153340250904,-1
2020-04-16 00:00:00+05:30,2.079793620349656,0
2020-04-17 00:00:00+05:30,5.619837232857676,1
2020-04-20 00:00:00+05:30,1.0954568568495195,0
2020-04-21 00:00:00+05:30,-4.9650847164694385,-1
2020-04-22 00:00:00+05:30,-2.520323962700061,0
2020-04-23 00:00:00+05:30,2.5630277745863705,0
2020-04-24 00:00:00+05:30,-3.6214004328221554,-1
2020-04-27 00:00:00+05:30,-5.849361276642201,-1
2020-04-28 00:00:00+05:30,-4.142742402415578,-1
2020-04-29 00:00:00+05:30,15.09591179631006,1
2020-04-30 00:00:00+05:30,-6.813336593739969,-1
2020-05-04 00:00:00+05:30,-7.525211332462867,-1
2020-05-05 00:00:00+05:30,-3.0991735537190217,-1
2020-05-06 00:00:00+05:30,-2.605040734555547,0
2020-05-07 00:00:00+05:30,-0.5632595470400739,0
2020-05-08 00:00:00+05:30,-2.4978480310017503,0
2020-05-11 00:00:00+05:30,-2.4347852623981083,0
2020-05-12 00:00:00+05:30,-6.3913030209748545,-1
2020-05-13 00:00:00+05:30,-6.400347491387609,-1
2020-05-14 00:00:00+05:30,5.580357142857118,1
2020-05-15 00:00:00+05:30,-4.52048884080969,-1
2020-05-18 00:00:00+05:30,-6.176597357647601,-1
2020-05-19 00:00:00+05:30,-1.8577212965200343,0
2020-05-20 00:00:00+05:30,1.1574074074074017,0
2020-05-21 00:00:00+05:30,-0.8189276736879525,0
2020-05-22 00:00:00+05:30,-1.1462631499484692,0
2020-05-26 00:00:00+05:30,-2.5768521821344903,0
2020-05-27 00:00:00+05:30,-0.13786904565394864,0
